date,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,CIPLA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,return_val
2020-07-16,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,-5,5,5,0,5,0,0,5,-5,5,5,0,5,0,5,0,5,5,0,0,5,-5,0,5,-5,5,5,-5,5,20522.760656241328
2020-07-17,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,-1,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,-4,0,5,-4,5,5,-2,5,45311.452860487625
2020-07-20,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,-7757.193537140265
2020-07-21,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,-22400.676554718986
2020-07-22,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,47839.05924152583
2020-07-23,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,-32487.35768565908
2020-07-24,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,-2998.1073542051017
2020-07-27,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,80719.04649398848
2020-07-28,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,-62456.09468726814
2020-07-29,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,-55466.98806178942
2020-07-30,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,-13811.556852035224
2020-07-31,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,-70380.80810447782
2020-08-03,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,64059.63219181448
2020-08-04,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,38396.91437434964
2020-08-05,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,5,5,0,5,58903.03136585094
