date,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,CIPLA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,return_val
2020-10-09,0,5,5,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37784.282216722146
2020-10-12,0,5,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-10880.869477609172
2020-10-13,0,5,5,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,76873.69242923707
2020-10-14,0,5,5,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-253430.61109631322
2020-10-15,0,5,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84406.15312785469
2020-10-16,0,5,5,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-42910.456668442115
2020-10-19,0,5,5,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17265.67014385946
2020-10-20,0,5,5,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-26269.77989530191
2020-10-21,0,5,5,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-80977.81263739057
2020-10-22,0,5,5,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42478.36567612551
2020-10-23,0,5,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-266116.74576364085
2020-10-26,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,154751.11938297935
2020-10-27,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-117016.62111170217
2020-10-28,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-22655.697474051267
2020-10-29,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-116960.4558199551
2020-10-30,0,5,5,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-51405.499557310715
2020-11-02,0,5,5,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,94147.24625369161
2020-11-03,0,5,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,128118.09983113036
2020-11-04,0,5,5,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,241698.2417540215
