,date,account_value
92,2020-11-11,14221498.82725844
93,2020-11-12,14326593.422380723
94,2020-11-13,14445428.840420611
95,2020-11-17,14624239.145491686
96,2020-11-18,14741871.094681384
97,2020-11-19,14622216.088261278
98,2020-11-20,14962994.093243677
99,2020-11-23,15230251.477917444
100,2020-11-24,15264953.417370463
101,2020-11-25,14998442.24929252
102,2020-11-27,15208855.269078042
103,2020-12-01,15276793.512005793
104,2020-12-02,15239995.943673747
105,2020-12-03,15512312.615631167
106,2020-12-04,15603728.329161853
107,2020-12-07,15596120.60697503
108,2020-12-08,15560493.879167398
109,2020-12-09,15528696.06612121
110,2020-12-10,15512104.724131128
111,2020-12-11,15517404.04008671
112,2020-12-14,15529958.807713877
113,2020-12-15,15703032.584043162
114,2020-12-16,15745793.2764732
115,2020-12-17,15816243.674642008
116,2020-12-18,15837199.549473643
117,2020-12-21,15394557.529677255
118,2020-12-22,15577973.331514291
119,2020-12-23,15684056.1798968
120,2020-12-24,15662284.332455538
121,2020-12-28,15689056.629223544
122,2020-12-29,15647803.256185275
123,2020-12-30,15873724.900885774
124,2020-12-31,15767134.636259584
125,2021-01-04,15858013.672299197
126,2021-01-05,15855933.534115603
127,2021-01-06,15981098.50214844
128,2021-01-07,15982931.158825472
129,2021-01-08,16385109.07746515
130,2021-01-11,16411491.232628657
131,2021-01-12,16304059.667287348
132,2021-01-13,16110075.363523431
133,2021-01-14,16150997.1775841
134,2021-01-15,15886098.76547764
135,2021-01-19,15907657.92277421
136,2021-01-20,15907942.272722254
137,2021-01-21,15873730.959790247
138,2021-01-22,15812935.02997732
139,2021-01-25,15668357.044983499
140,2021-01-27,15500439.395566553
141,2021-01-28,15386130.165025156
142,2021-01-29,15010917.87378921
143,2021-02-01,15712706.773525355
144,2021-02-02,16182902.829410471
145,2021-02-03,16175487.751266627
146,2021-02-04,16444754.042137858
147,2021-02-05,16431085.840257592
148,2021-02-08,16801390.83269156
149,2021-02-09,16819903.29753096
150,2021-02-10,16887750.762969196
151,2021-02-11,16945812.11142592
152,2021-02-12,16838396.851623017
153,2021-02-16,17018354.697109926
154,2021-02-17,16717228.762767168
155,2021-02-18,16501606.030728778
156,2021-02-19,16437491.05468052
157,2021-02-22,16068951.220694391
158,2021-02-23,16111409.428375749
159,2021-02-24,16285500.516237399
160,2021-02-25,16261879.591757586
161,2021-02-26,15772718.892686488
162,2021-03-01,16158519.949277995
163,2021-03-02,16297026.195844416
164,2021-03-03,16535013.185642786
165,2021-03-04,16653164.45341704
166,2021-03-05,16466185.243461305
167,2021-03-08,16320254.592366183
168,2021-03-09,16411055.611270243
169,2021-03-10,16525228.7566253
170,2021-03-12,16411051.933345126
171,2021-03-15,16321443.536089433
172,2021-03-16,16289222.695480548
173,2021-03-17,16022378.981867678
174,2021-03-18,15847105.36339728
175,2021-03-19,16008811.0450609
176,2021-03-22,16063568.870020434
177,2021-03-23,16359209.807952784
178,2021-03-24,16104183.06016498
179,2021-03-25,15863909.922528688
180,2021-03-26,16159229.56087746
181,2021-03-30,16555489.763317797
182,2021-03-31,16615236.95953461
183,2021-04-01,16807678.84861847
184,2021-04-05,16670697.871003116
185,2021-04-06,16685687.841675723
186,2021-04-07,16839505.60464569
