,date,account_value
201,2021-04-30,17390979.6964048
202,2021-05-03,17417044.932252273
203,2021-05-04,17273787.816460952
204,2021-05-05,17472608.602197036
205,2021-05-06,17584020.237534866
206,2021-05-07,17680131.39270149
207,2021-05-10,17769602.057336196
208,2021-05-11,17690215.454385146
209,2021-05-12,17537785.506692275
210,2021-05-14,17427546.370072708
211,2021-05-17,17686562.279008254
212,2021-05-18,17959911.179070815
213,2021-05-19,17900104.850549087
214,2021-05-20,17839340.128815994
215,2021-05-21,17984546.086427078
216,2021-05-24,17956819.205918655
217,2021-05-25,18082331.456948623
218,2021-05-26,18373075.82759987
219,2021-05-27,18487873.996865615
220,2021-05-28,18349874.12659584
221,2021-06-01,18518696.36097084
222,2021-06-02,18551451.770661697
223,2021-06-03,18580299.61262642
224,2021-06-04,18691937.444184646
225,2021-06-07,18649841.789803848
226,2021-06-08,18647651.728761062
227,2021-06-09,18463077.43681465
228,2021-06-10,18677263.482087478
229,2021-06-11,18699795.910706863
230,2021-06-14,18706213.681123123
231,2021-06-15,18650083.978860244
232,2021-06-16,18598827.745515212
233,2021-06-17,18538662.66454445
234,2021-06-18,18675104.472031936
235,2021-06-21,18770373.47439705
236,2021-06-22,18833901.71402107
237,2021-06-23,18853693.759866104
238,2021-06-24,18952315.03926216
239,2021-06-25,19002196.245110855
240,2021-06-28,18961721.701897964
241,2021-06-29,18872229.42508827
242,2021-06-30,18770463.06385933
243,2021-07-01,18718894.7014402
244,2021-07-02,18699615.92221199
245,2021-07-06,18878040.01056038
246,2021-07-07,19005238.00222145
247,2021-07-08,18818726.713349685
248,2021-07-09,18947586.78096901
249,2021-07-12,19024284.35051094
250,2021-07-13,19052746.180093154
251,2021-07-14,19101911.25073372
252,2021-07-15,19120317.898583755
253,2021-07-16,19086938.48951851
254,2021-07-19,18990589.08352028
255,2021-07-20,18919098.57267128
256,2021-07-22,19149737.53624092
257,2021-07-23,19220432.698121414
258,2021-07-26,19365617.633439407
259,2021-07-27,19204157.058480605
260,2021-07-28,19215858.810006484
261,2021-07-29,19433037.093003616
262,2021-07-30,19357985.828248367
263,2021-08-02,19383146.646188125
264,2021-08-03,19622502.089242324
265,2021-08-04,19588462.996117935
266,2021-08-05,19502260.382546768
267,2021-08-06,19463166.88239418
268,2021-08-09,19594906.406510696
269,2021-08-10,19471628.09713112
270,2021-08-11,19477991.313310012
271,2021-08-12,19583282.700135574
272,2021-08-13,19643881.831826553
273,2021-08-16,19651037.95700203
274,2021-08-17,19894759.814294204
275,2021-08-18,20057354.87497078
276,2021-08-20,19856767.361253127
277,2021-08-23,19911549.959046707
278,2021-08-24,20525841.723786697
279,2021-08-25,20263890.258355483
280,2021-08-26,20247265.33563362
281,2021-08-27,20515087.91074501
282,2021-08-30,20812873.29769264
283,2021-08-31,21189565.919251785
284,2021-09-01,21020678.09004341
285,2021-09-02,21165241.753045425
286,2021-09-03,21255626.01380287
287,2021-09-07,21318986.824845657
288,2021-09-08,21198106.182740554
289,2021-09-09,21249396.618981704
290,2021-09-13,21336447.529389724
291,2021-09-14,21342345.241959915
292,2021-09-15,21419512.830384597
293,2021-09-16,21397361.340760574
294,2021-09-17,21383347.86058174
295,2021-09-20,21303628.62471138
296,2021-09-21,21596898.661179885
297,2021-09-22,21645997.742219314
298,2021-09-23,22097877.71629463
299,2021-09-24,22049413.844285354
300,2021-09-27,21920172.116212234
301,2021-09-28,21696224.690766677
302,2021-09-29,21602973.128770217
303,2021-09-30,21623586.49238716
304,2021-10-01,21431269.29029976
305,2021-10-04,21744150.55125557
306,2021-10-05,21815888.32847725
307,2021-10-06,21505034.39891182
308,2021-10-07,21519694.684617385
309,2021-10-08,21591707.648225173
310,2021-10-11,21616653.429673538
311,2021-10-12,21922542.55966316
312,2021-10-13,21973674.853959426
313,2021-10-14,22154259.26648079
314,2021-10-18,22232898.44978462
315,2021-10-19,22268919.93608223
316,2021-10-20,21914373.574845657
317,2021-10-21,21783960.50172554
318,2021-10-22,21821820.74917732
319,2021-10-25,21513464.319199905
320,2021-10-26,21734731.104997024
321,2021-10-27,21575458.628526077
322,2021-10-28,21356455.847810134
323,2021-10-29,21287398.27618538
324,2021-11-01,21388434.148606643
325,2021-11-02,21333603.63528572
326,2021-11-03,21329832.03059517
327,2021-11-04,21439841.892274246
328,2021-11-08,21919236.512101516
329,2021-11-09,21869241.209123
330,2021-11-10,21905812.62030159
331,2021-11-11,21613492.4987043
332,2021-11-12,21823210.7230085
333,2021-11-15,21780245.956422195
334,2021-11-16,21717037.491471633
335,2021-11-17,21627287.115922317
336,2021-11-18,21323259.36499153
337,2021-11-22,20709992.608796462
338,2021-11-23,20873112.629517898
339,2021-11-24,20782072.114686355
340,2021-11-26,20379562.38316475
341,2021-11-29,20441302.769822463
342,2021-11-30,20524794.348435745
343,2021-12-01,20586684.00172554
344,2021-12-02,20899546.828385696
345,2021-12-03,20655619.460923538
346,2021-12-06,20170848.048280105
347,2021-12-07,20420230.65683113
348,2021-12-08,20806511.221177444
349,2021-12-09,20832223.34309517
350,2021-12-10,20877600.52766548
351,2021-12-13,20654062.270966873
352,2021-12-14,20568242.829743728
353,2021-12-15,20347138.13415657
354,2021-12-16,20349410.78573738
355,2021-12-17,19957481.170396194
356,2021-12-20,19619577.03837715
357,2021-12-21,19774725.279359207
358,2021-12-22,19921436.36132942
359,2021-12-23,20122154.080796584
360,2021-12-27,20088747.099458084
361,2021-12-28,20247963.895539626
362,2021-12-29,20389358.764375076
363,2021-12-30,20349779.349183425
364,2021-12-31,20590626.450135574
365,2022-01-03,20938159.655671462
366,2022-01-04,21055849.428346023
367,2022-01-05,21446321.59007393
368,2022-01-06,21320423.55059944
369,2022-01-07,21277806.762605056
370,2022-01-10,21402143.41844307
371,2022-01-11,21421671.35931526
372,2022-01-12,21533640.203736648
373,2022-01-13,21662391.399842605
374,2022-01-14,21637502.56448494
375,2022-01-18,21548550.56205879
376,2022-01-19,21432998.064500198
377,2022-01-20,20895747.88804756
378,2022-01-21,20481552.51408516
379,2022-01-24,19917619.692567214
380,2022-01-25,19983034.610307083
381,2022-01-27,19798209.68960701
382,2022-01-28,19721949.771546707
383,2022-01-31,20129354.643632278
384,2022-02-01,20386452.885316238
385,2022-02-02,20789190.098847732
386,2022-02-03,20603214.653886184
387,2022-02-04,20479238.939286575
388,2022-02-07,20104105.75724922
389,2022-02-08,20217523.423890457
390,2022-02-09,20517891.849091873
391,2022-02-10,20619167.948380813
392,2022-02-11,20319714.56926094
