date,action,tic,num_of_shares,price,total_num_shares,balance
2022-06-17,sell,INFY.NS,0,1387.3,0,9859607.0
2022-06-17,sell,INDUSINDBK.NS,0,806.9,0,9859607.0
2022-06-17,sell,HINDUNILVR.NS,0,2110.45,0,9859607.0
2022-06-17,sell,JSWSTEEL.NS,0,554.6,0,9859607.0
2022-06-17,sell,HEROMOTOCO.NS,0,2467.4,0,9859607.0
2022-06-17,sell,HDFCBANK.NS,0,1289.75,0,9859607.0
2022-06-17,sell,HDFC.NS,0,2052.7,0,9859607.0
2022-06-17,sell,HCLTECH.NS,0,958.75,0,9859607.0
2022-06-17,sell,AXISBANK.NS,0,635.2,0,9859607.0
2022-06-17,sell,GRASIM.NS,0,1290.05,0,9859607.0
2022-06-17,sell,HINDALCO.NS,0,333.7,0,9859607.0
2022-06-17,sell,BAJFINANCE.NS,0,5419.55,0,9859607.0
2022-06-17,sell,DRREDDY.NS,0,4146.7,0,9859607.0
2022-06-17,buy,WIPRO.NS,5,405.2,61,9857578.98
2022-06-17,buy,SBIN.NS,5,441.0,52,9855371.77
2022-06-17,buy,UPL.NS,5,665.15,57,9852042.7
2022-06-17,buy,LT.NS,5,1489.95,65,9844585.5
2022-06-17,buy,EICHERMOT.NS,5,2604.8,61,9831548.47
2022-06-17,buy,M&M.NS,5,997.65,64,9826555.24
2022-06-17,buy,MARUTI.NS,5,7688.15,67,9788076.05
2022-06-17,buy,NTPC.NS,5,140.45,60,9787373.09
2022-06-17,buy,POWERGRID.NS,5,211.35,63,9786315.29
2022-06-17,buy,RELIANCE.NS,5,2590.0,59,9773352.34
2022-06-17,buy,CIPLA.NS,5,914.75,69,9768774.01
2022-06-17,buy,BHARTIARTL.NS,5,643.65,54,9765552.54
2022-06-17,buy,TATASTEEL.NS,5,906.7,64,9761014.51
2022-06-17,buy,BAJAJ-AUTO.NS,5,3628.95,67,9742851.62
2022-06-17,buy,SUNPHARMA.NS,5,793.4,63,9738880.65
2022-06-17,buy,BAJAJFINSV.NS,5,11754.85,66,9680047.63
2022-06-17,buy,TECHM.NS,5,965.05,62,9675217.55
2022-06-17,buy,TATACONSUM.NS,5,711.65,69,9671655.74
2022-06-17,buy,ICICIBANK.NS,5,686.85,59,9668218.06
2022-06-20,sell,ASIANPAINT.NS,0,2660.7,0,9477736.52
2022-06-20,sell,ULTRACEMCO.NS,0,5333.3,0,9477736.52
2022-06-20,sell,TITAN.NS,0,1961.7,0,9477736.52
2022-06-20,sell,TCS.NS,0,3112.4,0,9477736.52
2022-06-20,sell,TATAMOTORS.NS,0,382.7,0,9477736.52
2022-06-20,sell,SHREECEM.NS,0,18414.0,0,9477736.52
