,tic,time_period_in_months,model,total return,idle return
207,ICICIBANK.NS,24,sac,280174.16,11472.199999999999
208,INDUSINDBK.NS,1,sac,-66150.13,4625.099999999999
209,INDUSINDBK.NS,3,sac,-66664.03,4633.650000000001
210,INDUSINDBK.NS,6,sac,-66664.03,4633.650000000001
211,INDUSINDBK.NS,12,sac,-66664.03,4633.650000000001
212,INDUSINDBK.NS,18,sac,-66664.03,4633.650000000001
213,INDUSINDBK.NS,24,sac,-66664.03,4633.650000000001
214,INFY.NS,3,sac,41326.36,53477.0
215,INFY.NS,6,sac,148704.2,217052.5
216,INFY.NS,12,sac,204500.6,303820.60000000003
217,INFY.NS,18,sac,339704.45,590716.7999999999
218,INFY.NS,24,sac,298099.4,518848.0
219,IOC.NS,1,sac,10265.179999999998,6818.349999999999
220,IOC.NS,3,sac,8364.859999999999,6446.7
221,IOC.NS,6,sac,9465.71,8573.75
222,IOC.NS,12,sac,1305218.24,10701.75
223,IOC.NS,18,sac,1305327.5200000003,10731.0
224,IOC.NS,24,sac,1305327.5200000003,10731.0
225,ITC.NS,1,sac,15324.66,12231.45
226,ITC.NS,3,sac,335.56,11453.400000000001
227,ITC.NS,6,sac,335.56,11453.400000000001
228,ITC.NS,12,sac,335.56,11453.400000000001
229,ITC.NS,18,sac,335.56,11453.400000000001
230,ITC.NS,24,sac,335.56,11453.400000000001
231,JSWSTEEL.NS,3,sac,28879.529999999984,16477.800000000003
232,JSWSTEEL.NS,6,sac,39483.47999999999,34061.25
233,JSWSTEEL.NS,12,sac,-320540.42,38484.5
234,JSWSTEEL.NS,18,sac,-320540.42,38484.5
235,JSWSTEEL.NS,24,sac,-320540.42,38484.5
236,KOTAKBANK.NS,1,sac,171952.33,128380.5
237,KOTAKBANK.NS,3,sac,180243.81999999998,159137.35
238,KOTAKBANK.NS,6,sac,296142.09,264523.7
239,KOTAKBANK.NS,12,sac,268710.0,244635.0
240,KOTAKBANK.NS,18,sac,275003.0,250359.59999999998
241,KOTAKBANK.NS,24,sac,271097.0,246806.40000000002
242,LT.NS,1,sac,17284.52,17355.55
243,LT.NS,3,sac,47336.61000000001,57308.8
244,LT.NS,6,sac,173862.53,199857.0
245,LT.NS,12,sac,203968.63,251435.24999999997
246,LT.NS,18,sac,621694.7099999997,273916.5
247,LT.NS,24,sac,620034.61,287669.25
248,LUPIN.NS,1,sac,25874.62,37062.0
249,LUPIN.NS,3,sac,81727.3,97818.7
